time,place,status,tsunami,significance,data_type,magnitudo,state,longitude,latitude,depth,date
631184592880,"3 km NE of Hitachi-Naka, Japan",reviewed,0,354,earthquake,4.8,Japan,140.568,36.417,67.9,1990-01-01T09:03:12Z
631184719270,"12km NE of Julian, CA",reviewed,0,10,earthquake,0.82,California,-116.499,33.151,7.601,1990-01-01T09:05:19Z
631184727430,"22 km ESE of Klamath, California",reviewed,0,42,earthquake,1.65,California,-123.8125,41.4235,3.744,1990-01-01T09:05:27Z
631185183880,"2 km NE of Corralitos, California",reviewed,0,17,earthquake,1.05,California,-121.7826667,37.0045,14.995,1990-01-01T09:13:03Z
631185412870,"3 km ENE of Big Sur, California",reviewed,0,57,earthquake,1.92,California,-121.7746667,36.2815,13.102,1990-01-01T09:16:52Z
631186695390,south of the Fiji Islands,reviewed,0,354,earthquake,4.8,south of the Fiji Islands,-179.922,-23.616,540.8,1990-01-01T09:38:15Z
631187070600,"5 km ENE of Day Valley, California",reviewed,0,17,earthquake,1.04,California,-121.8085,37.0615,11.726,1990-01-01T09:44:30Z
631188711920,"1 km SSW of Volcano, Hawaii",reviewed,0,35,earthquake,1.5,Hawaii,-155.2398333,19.4276667,0.207,1990-01-01T10:11:51Z
631190024050,"125 km SW of Charlestown, Saint Kitts and Nevis",reviewed,0,199,earthquake,3.6,Saint Kitts and Nevis,-63.417,16.302,33,1990-01-01T10:33:44Z
631191807150,"2 km NE of Monte Sereno, California",reviewed,0,29,earthquake,1.37,California,-121.9753333,37.2551667,3.628,1990-01-01T11:03:27Z
631192186440,"2 km NE of Corralitos, California",reviewed,0,18,earthquake,1.07,California,-121.7828333,37.0026667,15.495,1990-01-01T11:09:46Z
631192363640,"41 km WNW of Ninilchik, Alaska",reviewed,0,62,earthquake,2,Alaska,-152.3117,60.247,84,1990-01-01T11:12:43Z
631195902080,"24 km NE of Greenfield, California",reviewed,0,35,earthquake,1.5,California,-121.0531667,36.4771667,4.742,1990-01-01T12:11:42Z
631197093070,"48 km WNW of Ninilchik, Alaska",reviewed,0,44,earthquake,1.7,Alaska,-152.465,60.234,80.5,1990-01-01T12:31:33Z
631198222270,"6 km W of Cobb, California",reviewed,0,12,earthquake,0.87,California,-122.796,38.812,1.51,1990-01-01T12:50:22Z
631200167540,"1 km NNE of Corralitos, California",reviewed,0,114,earthquake,2.72,California,-121.7996667,37.001,15.404,1990-01-01T13:22:47Z
631201353970,"29 km SW of South Dos Palos, California",reviewed,0,27,earthquake,1.32,California,-120.8871667,36.772,0.254,1990-01-01T13:42:33Z
631201592010,"9 km WNW of Cobb, California",reviewed,0,5,earthquake,0.56,California,-122.8298333,38.8418333,1.202,1990-01-01T13:46:32Z
631201740350,"12 km S of Tres Pinos, California",reviewed,0,31,earthquake,1.43,California,-121.3051667,36.6748333,5.778,1990-01-01T13:49:00Z
631202311340,"9km ESE of Yorba Linda, CA",reviewed,0,45,earthquake,1.71,California,-117.723,33.856,3.737,1990-01-01T13:58:31Z
631202842830,"22 km NE of Soledad, California",reviewed,0,11,earthquake,0.86,California,-121.1463333,36.5613333,3.891,1990-01-01T14:07:22Z
631203003050,"245 km S of Banjar, Indonesia",reviewed,0,340,earthquake,4.7,Indonesia,107.26,-9.412,31.9,1990-01-01T14:10:03Z
631203260590,"5 km SSE of San Juan Bautista, California",reviewed,0,75,earthquake,2.21,California,-121.5246667,36.8016667,6.748,1990-01-01T14:14:20Z
631203301320,Central California,reviewed,0,1,earthquake,0.3,Central California,-121.5303333,36.8035,6.827,1990-01-01T14:15:01Z
631203604200,"1 km NE of Corralitos, California",reviewed,0,29,earthquake,1.38,California,-121.7956667,37.0013333,15.715,1990-01-01T14:20:04Z
631204317280,"1 km NNE of Lexington Hills, California",reviewed,0,17,earthquake,1.04,California,-121.9656667,37.178,2.942,1990-01-01T14:31:57Z
631205340690,"58 km W of Kirakira, Solomon Islands",reviewed,0,416,earthquake,5.2,Solomon Islands,161.387,-10.507,36.7,1990-01-01T14:49:00Z
631206385020,"5 km ESE of Santa Rosa, California",reviewed,0,21,earthquake,1.18,California,-122.6525,38.4235,9.025,1990-01-01T15:06:25Z
631206932930,"38 km S of Morton, Washington",reviewed,0,2,earthquake,0.4,Washington,-122.1965,46.2161667,6.667,1990-01-01T15:15:32Z
631207308960,"16 km SSW of Morton, Washington",reviewed,0,12,earthquake,0.9,Washington,-122.318,46.4115,15.956,1990-01-01T15:21:48Z
631210047320,"155 km N of Likisá, Timor Leste",reviewed,0,432,earthquake,5.3,Timor Leste,125.242,-7.183,527.1,1990-01-01T16:07:27Z
631210543850,"2 km SSW of Volcano, Hawaii",reviewed,0,63,earthquake,2.03,Hawaii,-155.2411667,19.4168333,2.492,1990-01-01T16:15:43Z
631210666070,"6 km SW of Cobb, California",reviewed,0,26,earthquake,1.29,California,-122.7681667,38.781,-0.799,1990-01-01T16:17:46Z
631210691590,"38 km NNE of Amboy, Washington",reviewed,0,4,earthquake,0.5,Washington,-122.1868333,46.2006667,3.719,1990-01-01T16:18:11Z
